Hospital Name,Overall rating
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,2.0
CARIBBEAN MEDICAL CENTER,
CARIBOU MEMORIAL HOSPITAL,
CARILION FRANKLIN MEMORIAL HOSPITAL,3.0
CARILION GILES COMMUNITY HOSPITAL,4.0
CARILION NEW RIVER VALLEY MEDICAL CENTER,4.0
CARILION ROANOKE MEMORIAL HOSPITAL,2.0
CARILION STONEWALL JACKSON HOSPITAL,3.0
CARILION TAZEWELL COMMUNITY HOSPITAL,3.0
CARLINVILLE AREA HOSPITAL,3.0
CARLISLE REGIONAL MEDICAL CENTER,3.0
CARLSBAD MEDICAL CENTER,3.0
CARNEGIE TRI-COUNTY MUNICIPAL HOSPITAL,
CARNEY HOSPITAL,3.0
CARO COMMUNITY HOSPITAL,
CAROLINA EAST MEDICAL CENTER,5.0
CAROLINA PINES REGIONAL MEDICAL CENTER,2.0
CAROLINAS  CONTINUECARE HOSPITAL AT UNIVERSITY,
CAROLINAS HEALTH CARE SYSTEM ANSON,3.0
CAROLINAS HEALTHCARE SYSTEM CLEVELAND,4.0
CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,4.0
CAROLINAS HEALTHCARE SYSTEM LINCOLN,4.0
CAROLINAS HEALTHCARE SYSTEM NORTHEAST,3.0
CAROLINAS HEALTHCARE SYSTEM PINEVILLE,4.0
CAROLINAS HEALTHCARE SYSTEM STANLY,3.0
CAROLINAS HEALTHCARE SYSTEM UNION,2.0
CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE,3.0
CAROLINAS HOSPITAL SYSTEM,2.0
CAROLINAS HOSPITAL SYSTEM MARION,2.0
CAROLINAS MED CTR-UNIVERSITY,3.0
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,3.0
CAROMONT REGIONAL MEDICAL CENTER,4.0
CARRINGTON HEALTH CENTER,4.0
CARROLL COUNTY MEMORIAL HOSPITAL,3.0
CARROLL HOSPITAL CENTER,
CARSON TAHOE REGIONAL MEDICAL CENTER,3.0
CARSON VALLEY MEDICAL CENTER,3.0
CARTERET GENERAL HOSPITAL,3.0
CARTERSVILLE MEDICAL CENTER,4.0
"CARTHAGE AREA HOSPITAL, INC",
CARY MEDICAL CENTER,3.0
CASA COLINA HOSPITAL,
CASCADE MEDICAL CENTER,
CASCADE VALLEY HOSPITAL,3.0
CASEY COUNTY HOSPITAL,4.0
CASS COUNTY MEMORIAL HOSPITAL,3.0
CASS LAKE INDIAN HEALTH SERVICES HOSPITAL,
CASS REGIONAL MEDICAL CENTER,3.0
CASSIA REGIONAL HOSPITAL,3.0
CASTLE MEDICAL CENTER,3.0
CASTLE ROCK ADVENTIST HOSPITAL,3.0
CASTLEVIEW HOSPITAL,4.0
CATALINA ISLAND MEDICAL CENTER,
CATAWBA VALLEY MEDICAL CENTER,3.0
CATHOLIC MEDICAL CENTER,4.0
CATSKILL REGIONAL MEDICAL CENTER,2.0
CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE,
CAVALIER COUNTY MEMORIAL HOSPITAL ASSOCIATION,
CAYUGA MEDICAL CENTER AT ITHACA,3.0
CEDAR CITY HOSPITAL,4.0
CEDAR COUNTY MEMORIAL HOSPITAL,
CEDAR PARK REGIONAL MEDICAL CENTER,2.0
CEDARS-SINAI MEDICAL CENTER,4.0
CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,5.0
CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,4.0
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,2.0
CENTERPOINT MEDICAL CENTER,3.0
CENTINELA HOSPITAL MEDICAL CENTER,4.0
"CENTRA  HEALTH, INC",4.0
CENTRA CARE HEALTH PAYNESVILLE,4.0
CENTRACARE HEALTH - MONTICELLO,4.0
CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,
CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,4.0
CENTRACARE HEALTH SYSTEM - SAUK CENTRE,
CENTRAL CAROLINA HOSPITAL,2.0
CENTRAL COMMUNITY HOSPITAL,
CENTRAL DUPAGE HOSPITAL,3.0
CENTRAL FLORIDA REGIONAL HOSPITAL,2.0
CENTRAL IOWA HEALTHCARE,3.0
CENTRAL LOUISIANA SURGICAL HOSPITAL,
CENTRAL MAINE MEDICAL CENTER,3.0
CENTRAL MONTANA MEDICAL CENTER,4.0
CENTRAL PENINSULA GENERAL HOSPITAL,3.0
CENTRAL TEXAS MEDICAL CENTER,3.0
CENTRAL VALLEY MEDICAL CENTER - CAH,4.0
CENTRAL VERMONT MEDICAL CENTER,4.0
CENTRAL WASHINGTON HOSPITAL,4.0
CENTRASTATE MEDICAL CENTER,4.0
CENTRO CARDIOVASCULAR,
CENTRO MEDICO WILMA N VAZQUEZ,
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,4.0
CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,4.0
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,4.0
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,4.0
CENTURA HEALTH-ST ANTHONY HOSPITAL,4.0
CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,4.0
CENTURA HEALTH-ST THOMAS MORE HOSPITAL,4.0
CGH MEDICAL CENTER,4.0
CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,3.0
CHAMBERS MEMORIAL HOSPITAL,3.0
CHAMBERSBURG HOSPITAL,3.0
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,3.0
CHANDLER REGIONAL MEDICAL CENTER,4.0
CHAPMAN GLOBAL MEDICAL CENTER,2.0
CHARLES A CANNON JR MEMORIAL HOSPITAL,3.0
CHARLES A DEAN MEMORIAL HOSPITAL,
CHARLES COLE MEMORIAL HOSPITAL,3.0
CHARLESTON AREA MEDICAL CENTER,3.0
CHARLESTON SURGICAL HOSPITAL,
CHARLOTTE HUNGERFORD HOSPITAL,2.0
CHASE COUNTY COMMUNITY HOSPITAL,
CHATHAM HOSPITAL INC,
CHATUGE REGIONAL HOSPITAL,4.0
"CHENANGO MEMORIAL HOSPITAL, INC",3.0
CHEROKEE INDIAN HOSPITAL AUTHORITY,
CHEROKEE MEDICAL CENTER,4.0
CHEROKEE REGIONAL MEDICAL CENTER,3.0
CHERRY COUNTY HOSPITAL,3.0
CHESAPEAKE GENERAL HOSPITAL,2.0
CHESHIRE MEDICAL CENTER,4.0
CHESTATEE REGIONAL HOSPITAL,3.0
CHESTER COUNTY HOSPITAL,5.0
CHESTER REGIONAL MEDICAL CENTER,3.0
CHESTNUT HILL HOSPITAL,2.0
CHEYENNE COUNTY HOSPITAL,
CHEYENNE REGIONAL MEDICAL CENTER,2.0
CHI HEALTH  - MERCY CORNING,
CHI HEALTH BERGAN MERCY,4.0
CHI HEALTH GOOD SAMARITAN,3.0
CHI HEALTH IMMANUEL,3.0
CHI HEALTH LAKESIDE,3.0
CHI HEALTH MERCY COUNCIL BLUFFS,3.0
CHI HEALTH MIDLANDS,3.0
CHI HEALTH MISSOURI VALLEY,
CHI HEALTH NEBRASKA HEART,5.0
CHI HEALTH PLAINVIEW,
CHI HEALTH SCHUYLER,
CHI HEALTH ST ELIZABETH,3.0
CHI HEALTH ST FRANCIS,3.0
CHI HEALTH ST MARY'S,3.0
CHI ST ALEXIUS HEALTH BISMARCK,4.0
CHI ST ALEXIUS HEALTH DEVILS LAKE,3.0
CHI ST ALEXIUS HEALTH DICKINSON,3.0
CHI ST ALEXIUS HEALTH TURTLE LAKE,
CHI ST ALEXIUS HEALTH WILLISTON,3.0
CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,2.0
CHI ST LUKES HEALTH MEMORIAL LUFKIN,3.0
CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,
CHI ST VINCENT MORRILTON,
CHI ST. VINCENT HOSPITAL HOT SPRINGS,2.0
CHI-ST VINCENT INFIRMARY,2.0
CHICKASAW NATION MEDICAL CENTER,3.0
CHICOT MEMORIAL MEDICAL CENTER,3.0
CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,
CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE,
CHILDREN'S HOME OF PITTSBURGH,
CHILDREN'S HOSP OF LOS ANGELES,
CHILDREN'S HOSP OF RICHMOND OF THE VCU HEALTH SYS,
CHILDREN'S HOSPITAL,
CHILDREN'S HOSPITAL & MEDICAL CENTER,
CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,
CHILDREN'S HOSPITAL AT MISSION,
CHILDREN'S HOSPITAL NMC,
CHILDREN'S HOSPITAL OF ALABAMA,
CHILDREN'S HOSPITAL OF MICHIGAN,
CHILDREN'S HOSPITAL OF ORANGE COUNTY,
CHILDREN'S HOSPITAL OF PHILADELPHIA,
CHILDREN'S HOSPITAL OF PITTSBURGH OF UPMC,
CHILDREN'S HOSPITAL OF SAN ANTONIO,
CHILDREN'S HOSPITALS & CLINICS OF MN,
"CHILDREN'S INSTITUTE OF PITTSBURGH, THE",
CHILDREN'S MERCY HOSPITAL KANSAS,
CHILDREN'S SPECIALIZED HOSPITAL,
CHILDRENS HOSPITAL COLORADO,
CHILDRENS HOSPITAL OF THE KINGS DAUGHTERS INC,
CHILDRENS HOSPITAL OF WISCONSIN,
CHILDRENS HOSPITAL OF WISCONSIN FOX VALLEY,
CHILDRENS MEDICAL CENTER PLANO,
CHILDRENS MEDICAL CTR OF DALLAS,
CHILDRENS MERCY HOSPITAL,
CHILDRESS REGIONAL MEDICAL CENTER,4.0
CHILLICOTHE HOSPITAL DISTRICT,
CHILTON MEDICAL CENTER,2.0
CHINESE HOSPITAL,3.0
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,3.0
CHINO VALLEY MEDICAL CENTER,4.0
CHIPPEWA COUNTY HOSPITAL,3.0
CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,4.0
CHIPPEWA VALLEY HOSPITAL,
CHOCTAW GENERAL HOSPITAL,
CHOCTAW HEALTH CENTER,
CHOCTAW MEMORIAL HOSPITAL,3.0
CHOCTAW NATION HEALTH SERVICES AUTHORITY,
CHOCTAW REGIONAL MEDICAL CENTER,
CHRIST HOSPITAL,4.0
CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST,2.0
"CHRISTIANA CARE HEALTH SERVICES, INC.",4.0
CHRISTUS COUSHATTA HEALTH CARE CENTER,
CHRISTUS HEALTH SHREVEPORT - BOSSIER,4.0
CHRISTUS JASPER MEMORIAL HOSPITAL,3.0
CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,3.0
CHRISTUS SANTA ROSA HOSPITAL,4.0
CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,3.0
CHRISTUS SPOHN HOSPITAL ALICE,3.0
CHRISTUS SPOHN HOSPITAL BEEVILLE,3.0
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,3.0
CHRISTUS SPOHN HOSPITAL KLEBERG,3.0
CHRISTUS ST FRANCES CABRINI HOSPITAL,3.0
CHRISTUS ST MICHAEL HEALTH SYSTEM,3.0
CHRISTUS ST PATRICK HOSPITAL,3.0
CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,2.0
CIBOLA GENERAL HOSPITAL,3.0
CIMARRON MEMORIAL HOSPITAL,
CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,
CITIZENS BAPTIST MEDICAL CENTER,3.0
CITIZENS MEDICAL CENTER,3.6666666666666665
CITIZENS MEMORIAL HOSPITAL,3.0
CITRUS MEMORIAL HOSPITAL,2.0
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,2.0
CJW MEDICAL CENTER,2.0
CLAIBORNE COUNTY HOSPITAL,
CLAIBORNE MEDICAL CENTER,3.0
CLAIBORNE MEMORIAL MEDICAL CENTER,4.0
CLARA BARTON HOSPITAL,4.0
CLARA MAASS MEDICAL CENTER,3.0
CLAREMORE INDIAN HOSPITAL,
CLARINDA REGIONAL HEALTH CENTER,3.0
CLARION HOSPITAL,2.0
CLARK FORK VALLEY HOSPITAL,
CLARK MEMORIAL HOSPITAL,3.0
CLARK REGIONAL MEDICAL CENTER,4.0
CLARKE COUNTY HOSPITAL,
CLAXTON-HEPBURN MEDICAL CENTER,3.0
CLAY COUNTY HOSPITAL,3.0
CLAY COUNTY MEDICAL CENTER,3.0
CLAY COUNTY MEMORIAL HOSPITAL,
CLEAR LAKE REGIONAL MEDICAL CENTER,3.0
CLEARFIELD HOSPITAL,3.0
CLEARVIEW  REGIONAL MEDICAL CENTER,2.0
CLEARWATER VALLEY HOSPITAL & CLINICS,3.0
CLEVELAND AREA HOSPITAL,
CLEVELAND CLINIC,4.0
CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHAB,
CLEVELAND CLINIC HOSPITAL,3.0
CLEVELAND EMERGENCY HOSPTIAL,
CLIFTON FINE HOSPITAL,
CLIFTON SPRINGS HOSPITAL AND CLINIC,3.0
CLINCH MEMORIAL HOSPITAL,
CLINCH VALLEY MEDICAL CENTER,4.0
CLINTON HOSPITAL ASSOCIATION,3.0
CLINTON MEMORIAL HOSPITAL,3.0
CLOUD COUNTY HEALTH CENTER,
CLOVIS COMMUNITY MEDICAL CENTER,2.0
COALINGA REGIONAL MEDICAL CENTER,
COAST PLAZA HOSPITAL,2.0
COASTAL CAROLINA HOSPITAL,3.0
COBLESKILL REGIONAL HOSPITAL,4.0
COBRE VALLEY REGIONAL MEDICAL CENTER,3.0
COCHRAN MEMORIAL HOSPITAL,
COFFEE REGIONAL MEDICAL CENTER,3.0
COFFEY COUNTY HOSPITAL,4.0
COFFEYVILLE REGIONAL MEDICAL CENTER,3.0
COGDELL MEMORIAL HOSPITAL,
COLEMAN COUNTY MEDICAL CENTER COMPANY,
COLISEUM MEDICAL CENTERS,3.0
COLISEUM NORTHSIDE HOSPITAL,4.0
COLLEGE HOSPITAL COSTA MESA,
COLLEGE MEDICAL CENTER,2.0
COLLEGE STATION MEDICAL CENTER,3.0
COLLETON MEDICAL CENTER,3.0
COLLINGSWORTH GENERAL HOSPITAL,
COLORADO CANYONS HOSPITAL AND MEDICAL CENTER,
COLORADO PLAINS MEDICAL CENTER,3.0
COLORADO RIVER MEDICAL CENTER,
COLQUITT REGIONAL MEDICAL CENTER,3.0
COLUMBIA BASIN HOSPITAL,
COLUMBIA CENTER,
COLUMBIA MEMORIAL HOSPITAL,2.0
COLUMBIA ST MARYS HOSPITAL MILWAUKEE,3.0
COLUMBIA ST MARYS HOSPITAL OZAUKEE,3.0
COLUMBUS COMMUNITY HOSPITAL,3.6666666666666665
COLUMBUS REGIONAL HEALTHCARE SYSTEM,2.0
COLUMBUS REGIONAL HOSPITAL,4.0
COMANCHE COUNTY HOSPITAL,
COMANCHE COUNTY MEDICAL CENTER,
COMANCHE COUNTY MEMORIAL HOSPITAL,3.0
COMMONWEALTH HEALTH CENTER,
COMMUNITY FIRST MEDICAL CENTER,3.0
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,4.0
COMMUNITY HOSPITAL,3.5
COMMUNITY HOSPITAL ASSOCIATION,3.0
COMMUNITY HOSPITAL EAST,4.0
COMMUNITY HOSPITAL INC,4.0
COMMUNITY HOSPITAL NORTH,3.0
COMMUNITY HOSPITAL OF ANACONDA,3.0
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,4.0
COMMUNITY HOSPITAL OF BREMEN INC,
COMMUNITY HOSPITAL OF HUNTINGTON PARK,2.0
COMMUNITY HOSPITAL OF LONG BEACH,2.0
COMMUNITY HOSPITAL OF SAN BERNARDINO,2.0
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,5.0
COMMUNITY HOSPITAL SOUTH,4.0
"COMMUNITY HOSPITAL, LLC",5.0
"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",4.0
COMMUNITY HOSPITALS AND WELLNESS CENTERS,4.0
COMMUNITY HOWARD REGIONAL HEALTH INC,3.0
COMMUNITY MEDICAL CENTER,2.5
COMMUNITY MEDICAL CENTER IZARD COUNTY,
"COMMUNITY MEDICAL CENTER, INC",4.0
"COMMUNITY MEMORIAL HEALTHCARE, INC",4.0
"COMMUNITY MEMORIAL HEALTHCENTER, INC",3.0
COMMUNITY MEMORIAL HOSPITAL,3.6666666666666665
COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER,
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,3.0
"COMMUNITY MEMORIAL HOSPITAL, INC",4.0
COMMUNITY REGIONAL MEDICAL CENTER,2.0
CONCHO COUNTY HOSPITAL,
CONCORD HOSPITAL,4.0
CONEMAUGH MEMORIAL MEDICAL CENTER,2.0
CONEMAUGH MINERS MEDICAL CENTER,4.0
CONEY ISLAND HOSPITAL,1.0
CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS,3.0
CONNALLY MEMORIAL MEDICAL CENTER,3.0
CONNECTICUT CHILDRENS MEDICAL CENTER,
"CONNECTICUT HOSPICE INC,THE",
CONROE REGIONAL MEDICAL CENTER,2.0
CONTINUECARE HOSPITAL AT BAPTIST HEALTH PADUCAH,
CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA,
CONTRA COSTA REGIONAL MEDICAL CENTER,2.0
CONWAY MEDICAL CENTER,4.0
CONWAY REGIONAL MEDICAL CENTER,3.0
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,3.0
COOK CHILDRENS MEDICAL CENTER,
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",
COOK HOSPITAL,
COOKEVILLE REGIONAL MEDICAL CENTER,3.0
"COOLEY DICKINSON HOSPITAL INC,THE",3.0
COON MEMORIAL HOSPITAL,
COOPER COUNTY MEMORIAL HOSPITAL,3.0
COOPER UNIVERSITY HOSPITAL,2.0
COOPERSTOWN MEDICAL CENTER,
COORDINATED HEALTH ORTHOPEDIC HOSPITAL,
COOSA VALLEY MEDICAL CENTER,3.0
COPLEY HOSPITAL,3.0
COPLEY MEMORIAL HOSPITAL,3.0
COPPER BASIN MEDICAL CENTER,
COPPER QUEEN COMMUNITY HOSPITAL,
COQUILLE VALLEY HOSPITAL DISTRICT,3.0
CORAL GABLES HOSPITAL,3.0
CORDELL MEMORIAL HOSPITAL,
CORDOVA COMMUNITY MEDICAL CENTER,
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",
CORNERSTONE MEDICAL CENTER,
CORNERSTONE REGIONAL HOSPITAL,
CORNING HOSPITAL,4.0
CORONA REGIONAL MEDICAL CENTER,3.0
"CORPUS CHRISTI MEDICAL CENTER,THE",4.0
CORRY MEMORIAL HOSPITAL,4.0
"CORTLAND REGIONAL MEDICAL CENTER, INC",3.0
CORYELL MEMORIAL HEALTHCARE SYSTEM,
COSHOCTON REGIONAL MEDICAL CENTER,3.0
COTEAU DES PRAIRIES HEALTH CARE SYSTEM,
COTTAGE HOSPITAL,
COULEE MEDICAL CENTER,
COVENANT CHILDRENS HOSPITAL,
COVENANT HOSPITAL LEVELLAND,3.0
COVENANT HOSPITAL PLAINVIEW,3.0
COVENANT MEDICAL CENTER,3.0
COVINGTON COUNTY HOSPITAL CAH,3.0
COX MEDICAL CENTER BRANSON,4.0
COX MEDICAL CENTERS,4.0
COX MONETT HOSPITAL,
COZAD COMMUNITY HOSPITAL,
CRAIG GENERAL HOSPITAL,3.0
CRANE COUNTY HOSPITAL DISTRICT,
CRAWFORD COUNTY MEMORIAL HOSPITAL,3.0
CRAWFORD MEMORIAL HOSPITAL,4.0
CREEK NATION COMMUNITY HOSPITAL,
CRENSHAW COMMUNITY HOSPITAL,3.0
CRESCENT MEDICAL CENTER LANCASTER,
CRESTWOOD MEDICAL CENTER,3.0
CRETE AREA MEDICAL CENTER,
CRISP REGIONAL HOSPITAL,3.0
CRITTENDEN HEALTH SYSTEM,3.0
CRITTENTON HOSPITAL MEDICAL CENTER,3.0
CROOK COUNTY HOSPITAL,
CROSBYTON CLINIC HOSPITAL,
CROSSING RIVERS HEALTH MEDICAL CENTER,4.0
CROSSRIDGE COMMUNITY HOSPITAL,4.0
CROSSROADS COMMUNITY HOSPITAL,3.0
CROUSE HOSPITAL,2.0
CROWNPOINT HEALTHCARE FACILITY,
CROZER CHESTER MEDICAL CENTER,2.0
CRYSTAL CLINIC ORTHOPAEDIC CENTER,
"CUBA MEMORIAL HOSPITAL, INC",
CUERO COMMUNITY HOSPITAL,4.0
CULBERSON HOSPITAL,
CULLMAN REGIONAL MEDICAL CENTER,3.0
CUMBERLAND COUNTY HOSPITAL,3.0
CUMBERLAND HOSPITAL LLC,
CUMBERLAND MEDICAL CENTER,3.0
CUMBERLAND MEMORIAL HOSPITAL,
CUMBERLAND RIVER HOSPITAL,
CUMBERLAND SURGICAL HOSPITAL,
CURRY GENERAL HOSPITAL,3.0
CUSTER REGIONAL HOSPITAL - CAH,
CUYUNA REGIONAL MEDICAL CENTER,3.0
CYPRESS FAIRBANKS MEDICAL CENTER,2.0
CYPRESS POINTE SURGICAL HOSPITAL,
D C H REGIONAL MEDICAL CENTER,2.0
D W MCMILLAN MEMORIAL HOSPITAL,2.0
DAHL MEMORIAL HEALTHCARE ASSOC,
DALE MEDICAL CENTER,4.0
DALLAS COUNTY HOSPITAL,
DALLAS COUNTY MEDICAL CENTER,
DALLAS MEDICAL CENTER,3.0
DALLAS REGIONAL MEDICAL CENTER,2.0
DAMERON HOSPITAL,2.0
DANBURY HOSPITAL,2.0
DANIELS MEMORIAL HOSPITAL,
DANVILLE REGIONAL MEDICAL CENTER,1.0
DAVIE MEDICAL CENTER,
DAVIESS COMMUNITY HOSPITAL,3.0
DAVIS COUNTY HOSPITAL,
DAVIS HOSPITAL AND MEDICAL CENTER,2.0
DAVIS MEDICAL CENTER,3.0
DAVIS REGIONAL MEDICAL CENTER,3.0
DAY KIMBALL HOSPITAL,3.0
DAYTON CHILDREN'S HOSPITAL,
DAYTON GENERAL HOSPITAL,
"DE QUEEN MEDICAL CENTER, INC",
DEACONESS HOSPITAL,2.0
DEACONESS HOSPITAL INC,3.0
DEARBORN COUNTY HOSPITAL,3.0
DEBORAH HEART AND LUNG CENTER,4.0
DECATUR COUNTY GENERAL HOSPITAL,3.0
DECATUR COUNTY HOSPITAL,
DECATUR COUNTY MEMORIAL HOSPITAL,4.0
DECATUR MEMORIAL HOSPITAL,3.0
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,2.0
DECKERVILLE COMMUNITY HOSPITAL,
DEER LODGE MEDICAL CENTER,
DEER RIVER HEALTHCARE CENTER,
DEFIANCE REGIONAL MEDICAL CENTER,4.0
DEKALB HEALTH,3.0
DEKALB MEDICAL CENTER,2.0
DEKALB MEDICAL CENTER AT HILLANDALE,2.0
DEKALB REGIONAL MEDICAL CENTER,3.0
DELANO REGIONAL MEDICAL CENTER,2.0
DELAWARE COUNTY MEMORIAL HOSPITAL,3.0
"DELAWARE VALLEY HOSPITAL, INC",3.0
DELL CHILDREN'S MEDICAL CENTER OF CENTRAL TEXAS,
DELNOR COMMUNITY HOSPITAL,4.0
DELRAY MEDICAL CENTER,2.0
DELTA COMMUNITY HOSPITAL,
DELTA COUNTY MEMORIAL HOSPITAL,3.0
DELTA MEDICAL CENTER,2.0
DELTA MEMORIAL HOSPITAL,
DELTA REGIONAL MEDICAL CENTER,2.0
DENTON REGIONAL MEDICAL CENTER,3.0
DENVER HEALTH MEDICAL CENTER,3.0
DEQUINCY MEMORIAL HOSPITAL,
DES PERES HOSPITAL,2.0
DESERT REGIONAL MEDICAL CENTER,2.0
DESERT SPRINGS HOSPITAL,1.0
DESERT VALLEY HOSPITAL,2.0
DESERT VIEW REGIONAL MEDICAL CENTER,4.0
DESOTO MEMORIAL HOSPITAL,3.0
DESOTO REGIONAL HEALTH SYSTEM,3.0
DETAR HEALTHCARE SYSTEM,3.0
DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,1.0
"DEWITT HOSPITAL & NURSING HOME, INC",
DHHS USPHS INDIAN HEALTH SERVICES,
DICKENSON COMMUNITY HOSPITAL,
DICKINSON COUNTY MEMORIAL HOSPITAL,4.0
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,
DILEY RIDGE MEDICAL CENTER,
DIMMIT REGIONAL HOSPITAL,3.0
DISTRICT ONE HOSPITAL,4.0
DIVINE SAVIOR HEALTHCARE,2.0
DIXIE REGIONAL MEDICAL CENTER,4.0
DOCTOR'S MEMORIAL HOSPITAL INC,2.0
DOCTORS CENTER HOSPITAL BAYAMON,
DOCTORS HOSPITAL,2.3333333333333335
DOCTORS HOSPITAL AT DEER CREEK L L C,
DOCTORS HOSPITAL AT RENAISSANCE,3.0
DOCTORS HOSPITAL LLC,
DOCTORS HOSPITAL OF LAREDO,3.0
DOCTORS HOSPITAL OF MANTECA,3.0
DOCTORS HOSPITAL OF SARASOTA,3.0
DOCTORS HOSPITAL TIDWELL,2.0
DOCTORS MEDICAL CENTER,2.0
DOCTORS MEMORIAL HOSPITAL,
DOCTORS'  COMMUNITY HOSPITAL,
DOCTORS' CENTER HOSPITAL SAN JUAN,
"DOCTORS' CENTER HOSPITAL, INC",
DODGE COUNTY HOSPITAL,3.0
DOMINICAN HOSPITAL,4.0
DONALSONVILLE HOSPITAL INC,3.0
DORMINY MEDICAL CENTER,3.0
DOUGLAS COUNTY HOSPITAL,3.0
DOUGLAS COUNTY MEMORIAL HOSPITAL-CAH,
DOUGLAS GARDENS HOSPITAL,
DOWN EAST COMMUNITY HOSPITAL,3.0
DOYLESTOWN HOSPITAL,4.0
DR DAN C TRIGG MEMORIAL HOSPITAL,
DREW MEMORIAL HOSPITAL,3.0
DRISCOLL CHILDRENS HOSPITAL,
DRUMRIGHT REGIONAL HOSPITAL,
DUBLIN METHODIST HOSPITAL,5.0
DUKE HEALTH RALEIGH HOSPITAL,4.0
DUKE REGIONAL HOSPITAL,3.0
DUKE UNIVERSITY HOSPITAL,4.0
DUKES MEMORIAL HOSPITAL,3.0
"DUNCAN REGIONAL HOSPITAL, INC",3.0
DUNDY COUNTY HOSPITAL,
DUNES SURGICAL HOSPITAL,
DUPONT HOSPITAL LLC,4.0
EAGLEVILLE HOSPITAL,
EAST ADAMS RURAL HOSPITAL,
EAST ALABAMA MEDICAL CENTER,4.0
EAST CARROLL PARISH HOSPITAL,3.0
EAST COOPER MEDICAL CENTER,4.0
EAST GEORGIA REGIONAL MEDICAL CENTER,2.0
EAST JEFFERSON GENERAL HOSPITAL,4.0
EAST LIVERPOOL CITY HOSPITAL,3.0
EAST LOS ANGELES DOCTORS HOSPITAL,2.0
EAST MORGAN COUNTY HOSPITAL,3.0
EAST OHIO REGIONAL HOSPITAL,3.0
EAST ORANGE GENERAL HOSPITAL,2.0
EAST TENNESSEE CHILDRENS HOSPITAL,
EAST TEXAS MEDICAL CENTER,3.0
EAST TEXAS MEDICAL CENTER ATHENS,3.0
EAST TEXAS MEDICAL CENTER JACKSONVILLE,3.0
EAST TEXAS MEDICAL CENTER PITTSBURG,4.0
EAST TEXAS MEDICAL CENTER QUITMAN,3.0
EAST TEXAS MEDICAL CENTER TRINITY,3.0
EASTERN IDAHO REGIONAL MEDICAL CENTER,4.0
EASTERN LONG ISLAND HOSPITAL,3.0
EASTERN MAINE MEDICAL CENTER,2.0
EASTERN NEW MEXICO MEDICAL CENTER,2.0
EASTERN NIAGARA HOSPITAL,2.0
EASTERN OKLAHOMA MEDICAL CENTER,3.0
EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,
EASTLAND MEMORIAL HOSPITAL,4.0
EASTON HOSPITAL,2.0
EASTSIDE MEDICAL CENTER,3.0
